mass	intensity
1000.0	102.567
1000.5	99.890
1001.0	105.123
1001.5	98.456
1002.0	103.789
1002.5	100.012
1003.0	106.345
1003.5	97.678
1004.0	102.901
1004.5	99.234
1005.0	105.567
1005.5	98.890
1006.0	104.123
1006.5	100.456
1007.0	106.789
1007.5	97.012
1008.0	103.345
1008.5	99.678
1009.0	105.901
1009.5	98.234
1010.0	104.567
1248.0	108.890
1248.5	118.123
1249.0	135.456
1249.5	165.789
1250.0	480.012
1250.5	166.345
1251.0	136.678
1251.5	119.901
1252.0	109.234
1252.5	103.567
1253.0	100.890
1748.0	106.123
1748.5	116.456
1749.0	133.789
1749.5	163.012
1750.0	720.345
1750.5	164.678
1751.0	134.901
1751.5	117.234
1752.0	107.567
1752.5	102.890
1753.0	99.123
2248.0	105.456
2248.5	115.789
2249.0	132.012
2249.5	161.345
2250.0	650.678
2250.5	162.901
2251.0	133.234
2251.5	116.567
2252.0	106.890
2252.5	102.123
2253.0	98.456
2748.0	104.789
2748.5	114.012
2749.0	130.345
2749.5	159.678
2750.0	690.901
2750.5	161.234
2751.0	131.567
2751.5	115.890
2752.0	106.123
2752.5	101.456
2753.0	97.789
3248.0	103.012
3248.5	113.345
3249.0	129.678
3249.5	158.901
3250.0	620.234
3250.5	160.567
3251.0	130.890
3251.5	114.123
3252.0	105.456
3252.5	100.789
3253.0	97.012
3748.0	102.345
3748.5	112.678
3749.0	128.901
3749.5	157.234
3750.0	590.567
3750.5	158.890
3751.0	129.123
3751.5	113.456
3752.0	104.789
3752.5	100.012
3753.0	96.345
4500.0	101.678
4500.5	98.901
4501.0	106.234
4501.5	99.567
4502.0	105.890
4998.0	103.123
4998.5	99.456
4999.0	106.789
4999.5	100.012
5000.0	105.345
