mass	intensity
1000.0	95.234
1000.5	98.123
1001.0	102.456
1001.5	97.890
1002.0	101.234
1002.5	99.567
1003.0	103.890
1003.5	96.123
1004.0	100.456
1004.5	98.789
1005.0	102.123
1005.5	97.456
1006.0	101.789
1006.5	99.012
1007.0	103.345
1007.5	96.678
1008.0	100.901
1008.5	98.234
1009.0	102.567
1009.5	97.890
1010.0	101.123
1498.0	105.234
1498.5	112.567
1499.0	125.890
1499.5	148.234
1500.0	580.567
1500.5	148.890
1501.0	126.123
1501.5	113.456
1502.0	106.789
1502.5	101.012
1503.0	98.345
1998.0	103.678
1998.5	110.901
1999.0	123.234
1999.5	145.567
2000.0	620.890
2000.5	146.123
2001.0	124.456
2001.5	111.789
2002.0	104.012
2002.5	99.345
2003.0	97.678
2498.0	102.901
2498.5	109.234
2499.0	121.567
2499.5	143.890
2500.0	550.123
2500.5	144.456
2501.0	122.789
2501.5	110.012
2502.0	103.345
2502.5	98.678
2503.0	96.901
2998.0	101.234
2998.5	108.567
2999.0	120.890
2999.5	142.123
3000.0	590.456
3000.5	143.789
3001.0	121.012
3001.5	109.345
3002.0	102.678
3002.5	98.901
3003.0	96.234
3498.0	100.567
3498.5	107.890
3499.0	119.123
3499.5	140.456
3500.0	570.789
3500.5	141.012
3501.0	120.345
3501.5	108.678
3502.0	101.901
3502.5	98.234
3503.0	95.567
4000.0	99.890
4000.5	103.123
4001.0	97.456
4001.5	101.789
4002.0	99.012
4002.5	103.345
4003.0	96.678
4003.5	100.901
4004.0	98.234
4004.5	102.567
4005.0	97.890
4998.0	100.123
4998.5	97.456
4999.0	103.789
4999.5	99.012
5000.0	102.345
